year_type,year,n_buildings
effect,2009,223
effect,2010,3576
effect,2011,3485
effect,2012,5248
effect,2013,3207
effect,2014,3066
effect,2015,3257
effect,2016,6732
effect,2017,77679
effect,2018,236496
effect,2019,149096
effect,2020,80106
effect,2021,99200
effect,2022,63146
effect,2023,36791
effect,2024,24113
effect,2025,12517
effect,2026,6008
registration,2017,69231
registration,2018,173846
registration,2019,148329
registration,2020,92029
registration,2021,107788
registration,2022,76981
registration,2023,53710
registration,2024,44356
registration,2025,33041
registration,2026,14635
