window,pairing,scope,min_variant,min_rate_pct,max_variant,max_rate_pct,fold
2011-2019,etage/bolig+erhverv,base,D3,0.06418397292374561,D1,0.44360953804759945,6.911531303533267
2011-2019,total/samlet_etageareal,base,D3,0.05333097484251928,D1,0.3742849118442638,7.018152451731616
2011-2019,etage/bolig+erhverv,all,D3-exdisc,0.01477232600822576,D1,0.44360953804759945,30.0297690289655
2011-2019,total/samlet_etageareal,all,D3-exdisc,0.011854972738223953,D1,0.3742849118442638,31.571975753049024
2012-2023,etage/bolig+erhverv,base,D3,0.12698951790871388,D1,0.45135034722042877,3.5542330946155802
2012-2023,total/samlet_etageareal,base,D3,0.10445775661849484,D1,0.378548783021668,3.6239413450570295
2012-2023,etage/bolig+erhverv,all,D3-exdisc,0.033800761173033565,D1,0.45135034722042877,13.353259854411757
2012-2023,total/samlet_etageareal,all,D3-exdisc,0.027021203271258232,D1,0.378548783021668,14.009323686348221
2018-2025,etage/bolig+erhverv,base,D3,0.2500763472342432,D1,0.44090874229705324,1.763096539010384
2018-2025,total/samlet_etageareal,base,D3,0.20532664790437224,D1,0.3673311720028256,1.7890087611711487
2018-2025,etage/bolig+erhverv,all,D3-exdisc,0.06881268478631639,D1,0.44090874229705324,6.407375960786946
2018-2025,total/samlet_etageareal,all,D3-exdisc,0.05509500025670849,D1,0.3673311720028256,6.6672324220217885
2011-2025,etage/bolig+erhverv,base,D3,0.14154800522295524,D1,0.430922273061713,3.0443542625906894
2011-2025,total/samlet_etageareal,base,D3,0.1162828751434968,D1,0.36052450530110236,3.1004092808696337
2011-2025,etage/bolig+erhverv,all,D3-exdisc,0.038672382356714344,D1,0.430922273061713,11.142894406837488
2011-2025,total/samlet_etageareal,all,D3-exdisc,0.030965730340234105,D1,0.36052450530110236,11.64269343367203
